Algorithm,Dataset,Distance,Subset Accuracy,Accuracy,F1 Score Macro,F1 Score Micro,Hamming Loss
MIMLBRkNN,birds,AverageHausdorff,0.058823529411764705,0.11013071895424838,0.04349896973399464,0.16417910447761194,0.11558307533539731
MIMLDGC,birds,AverageHausdorff,0.058823529411764705,0.11013071895424838,0.04854310843421551,0.1746031746031746,0.10732714138286893
MIMLMAPkNN,birds,AverageHausdorff,0.0,0.0196078431372549,0.016869095816464237,0.0380952380952381,0.1042311661506708
MIMLkNN,birds,AverageHausdorff,0.0,0.01633986928104575,0.019736842105263157,0.056074766355140186,0.1042311661506708
MIMLBRkNN,birds,MaximalHausdorff,0.0784313725490196,0.16633986928104577,0.05552843146828109,0.2138364779874214,0.12899896800825594
MIMLDGC,birds,MaximalHausdorff,0.09803921568627451,0.17058823529411762,0.07441681125891653,0.21476510067114093,0.12074303405572756
MIMLMAPkNN,birds,MaximalHausdorff,0.0196078431372549,0.0196078431372549,0.00554016620498615,0.019230769230769232,0.10526315789473684
MIMLkNN,birds,MaximalHausdorff,0.0196078431372549,0.0196078431372549,0.008771929824561403,0.019417475728155338,0.1042311661506708
MIMLBRkNN,birds,MinimalHausdorff,0.11764705882352941,0.20816993464052289,0.10158975871050173,0.2602739726027397,0.11145510835913312
MIMLDGC,birds,MinimalHausdorff,0.11764705882352941,0.2261437908496732,0.12411525467552631,0.2781456953642384,0.11248710010319918
MIMLMAPkNN,birds,MinimalHausdorff,0.0196078431372549,0.05294117647058823,0.04845446950710108,0.10526315789473684,0.10526315789473684
MIMLkNN,birds,MinimalHausdorff,0.058823529411764705,0.06274509803921569,0.024060150375939848,0.07339449541284404,0.1042311661506708
MIMLBRkNN,text,AverageHausdorff,0.7175,0.7633333333333333,0.6850306460681219,0.8060046189376443,0.06
MIMLDGC,text,AverageHausdorff,0.705,0.7454166666666666,0.6327402591682905,0.7671541057367829,0.07392857142857143
MIMLMAPkNN,text,AverageHausdorff,0.73,0.7770833333333332,0.7117044577695096,0.8165137614678899,0.05714285714285714
MIMLkNN,text,AverageHausdorff,0.68,0.7120833333333333,0.6933723117121613,0.8060836501901141,0.054642857142857146
MIMLBRkNN,text,MaximalHausdorff,0.76,0.8125,0.7695056871663092,0.851685393258427,0.047142857142857146
MIMLDGC,text,MaximalHausdorff,0.7875,0.8320833333333333,0.8024793743263953,0.875,0.039285714285714285
MIMLMAPkNN,text,MaximalHausdorff,0.7125,0.74625,0.7097577324379196,0.8282582216808769,0.05035714285714286
MIMLkNN,text,MaximalHausdorff,0.535,0.5695833333333333,0.6616235843717782,0.7103825136612022,0.07571428571428572
MIMLBRkNN,text,MinimalHausdorff,0.6775,0.7204166666666666,0.6303393566570817,0.7834319526627219,0.06535714285714286
MIMLDGC,text,MinimalHausdorff,0.7125,0.74125,0.6912681631690377,0.8157894736842105,0.055
MIMLMAPkNN,text,MinimalHausdorff,0.6625,0.7004166666666666,0.6407186288742903,0.7877300613496933,0.061785714285714284
MIMLkNN,text,MinimalHausdorff,0.6375,0.6683333333333333,0.6272403889131103,0.7722007722007722,0.06321428571428571
MIMLBRkNN,image,AverageHausdorff,0.395,0.43229166666666674,0.317288670408875,0.4847715736040609,0.203
MIMLDGC,image,AverageHausdorff,0.3975,0.42875,0.29210526315789476,0.48556430446194226,0.196
MIMLMAPkNN,image,AverageHausdorff,0.3,0.3377083333333333,0.2887375447989259,0.4171270718232044,0.211
MIMLkNN,image,AverageHausdorff,0.16,0.17625,0.21444551623221683,0.27256637168141595,0.2055
MIMLBRkNN,image,MaximalHausdorff,0.28,0.31666666666666665,0.252134449805237,0.3695090439276486,0.244
MIMLDGC,image,MaximalHausdorff,0.2675,0.29791666666666666,0.2575136540848489,0.367911479944675,0.2285
MIMLMAPkNN,image,MaximalHausdorff,0.1225,0.14791666666666667,0.15606732914705818,0.21739130434782608,0.252
MIMLkNN,image,MaximalHausdorff,0.06,0.06875,0.0869047619047619,0.11969111969111969,0.228
MIMLBRkNN,image,MinimalHausdorff,0.2825,0.31875,0.24754208939803335,0.3753280839895013,0.238
MIMLDGC,image,MinimalHausdorff,0.255,0.28833333333333333,0.24113225276015973,0.36235955056179775,0.227
MIMLMAPkNN,image,MinimalHausdorff,0.27,0.2975,0.22915739675233343,0.3784570596797671,0.2135
MIMLkNN,image,MinimalHausdorff,0.125,0.13375,0.14078451260115094,0.20727272727272728,0.218
